episode,duration,ad_spot,pct_through,context
ELFCM001,14:00,06:19,45.2,"So I looked around and nothing really existed like this for English language learners. So I thought, okay, I'll make it. Now, what can you expect from this podcast? On one level, it's quite simple. Podcasts for the curious mind."
ELFCM002,09:21,04:12,45.0,"There is a regulation that requires airline operators to be able to descend to around 3000 metres to ensure that passengers have enough oxygen, and given that the average height of the ground in Tibet is 5,000 metres, well, going down to 3000 metrers is a bit of a problem. Secondly, if anything goes wrong and a plane is required to make an emergency landing, well that's not very easy in the Himalayas."
ELFCM003,11:31,05:08,44.7,"In any case, in June, 1962 three prisoners escaped and then mysteriously went missing. These prisoners, Frank Morris, John Anglin, and his brother Clarence spent two years digging a tunnel through the walls and building a raft made out of raincoats to sail to freedom. On the night of the escape, they placed dummies, so fake bodies, fake copies of themselves they placed them in their bed to trick the guards and it worked."
ELFCM004,17:40,07:59,45.2,"it. I don't tend to pause and rewind when I listen to the podcast for the first time as I want to have as uninterrupted experience as possible. But you can if you like, it just depends on how patient you are. Once I've listened to it for the first time without writing anything down, I'll listen to the"
ELFCM005,16:20,07:19,44.8,"I should also point out that in the 2019 Soft Power report, it has slipped into second place. France always ranks pretty highly in any league table of soft power and came top of the rankings for 2019. It has a strong cultural footprint with a history of philosophy, arts, film, and literature, and the French revolution has projected it as a strongly Republican country with values that anyone around"
ELFCM006,15:01,06:46,45.0,"between scheming and plain theft. As we know, Russia was transitioning from a centrally planned and state run economy to a market economy. Very few people in Russia had any idea of how to do this, and there were many, many loopholes that were exploited by enterprising Russians."
ELFCM007,17:42,07:57,44.9,"Secondly, up to 200 nautical miles from the coast, this is called the exclusive economic zone. Within this area, a country owns the rights to resources of the sea, which includes fishing and oil and gas exploration. And again, so long as this doesn't impinge on the rights of another country, as long as it doesn't go so far as to to hit the territorial waters of another country."
ELFCM008,12:16,05:37,45.8,"With the advent of flight, this evidently complicated things. If a hot air balloon happened to blow over your land, blow over the airspace of your land, was this trespassing in the same way as it would be if a horse and cart of someone else came onto your land? As you might expect, it wasn't practical for a landowner to have infinite ownership of the airspace. This would mean they could do things like extract tariffs for anyone flying above their land, which"
ELFCM009,11:35,05:09,44.5,"The USSR believed that the US would do the same to them. So in terms of ownership of space, where does that leave us? If nobody owns it, what does that actually mean from a practical point of view? Are countries free to go to the moon, Mars and beyond, and not to have to worry about anything, as it doesn't belong to anything?"
ELFCM010,14:42,06:38,45.2,"When 'just' is used at the start of a sentence before an imperative, it's like an order, right? It reinforces the need to do something. It also adds a sense of urgency, so 'just shut up' means to ask someone to be quiet right now. You can use 'just' as a term to reinforce an imperative. Just shut up, just go away, just give me it."
ELFCM011,14:19,06:28,45.2,"One cold Christmas Eve, Scrooge is nasty and mean to his employees. Two men knock on his door asking for charity for the poor, and he refuses them. He is then rude to his nephew Fred, who invites him to spend Christmas together. And then when Scrooge gets home, he is visited by the ghost of his old business partner, Jacob Marley."
ELFCM012,12:19,05:27,44.3,"Specifically, it requires 7.8 megalitres per hectare to grow. Now, that might not mean a huge amount to you, it didn't mean a huge amount to me, but if we bring it down to the level of a tee shirt. There's research from Oxfam that suggests even now it can take up to 2,700 litres of water to make a single cotton t-shirt like the one that you might be wearing at the moment."
ELFCM013,09:32,04:19,45.4,"But why January the first? Well, the concept of the month of January existed in the Julian calendar and the God after whom January was named was Janus, the two faced God, the God of change. The Romans decided that Janus, who looked both forward and backwards because he had two faces, was a good symbol of the New Year, where you would look both forward to the future and past over the"
ELFCM014,18:04,08:10,45.2,"'guh' or 'buh' or strange baby sounds. One big mistake that many language learners make when they start learning a language is to start speaking right from day one. Yes, there are all sorts of people all over the internet that will tell you that you need to speak from day one, but I just want to say two things about that kind of strategy."
ELFCM015,19:03,08:31,44.8,"Unfortunately, like the subject of this podcast, it's not very good news. There's a lot of evidence to suggest that there are some pretty negative mental health effects associated with consuming large amounts of news. If you're just consuming negative content, it's very easy to get into the mindset that the world is a terrible place full of terrible people doing terrible things."
ELFCM016,17:25,07:48,44.8,"In fact, they were so popular and so cheap that they were often used as a substitute for beef. One of the most popular dishes at the time was beef and oyster pie, and the richer you were, the more beef and the fewer oysters you would use. Charles Dickens, author of books like Oliver Twist and a Christmas Carol, he once wrote, in Pickwick Papers, he wrote ""poverty and oysters always seem to go together""."
ELFCM017,12:55,05:51,45.3,"continental past. The story of the humble chip goes back to the 17th century, to either Belgium or France, depending on who you believe. Oddly enough, it's believed that the chip may have been invented as a substitute for fish rather than an accompaniment."
ELFCM018,16:24,07:23,45.0,"which are cured or smoked fish. And there's more, a typical lavish Victorian breakfast table would also include something called kedgeree, which is a lightly spiced dish from colonial India of rice, smoked fish and boiled eggs. Quite a sumptuous breakfast, right? These breakfast banquets could go on for hours, and the amazing thing was that they were just the"
ELFCM019,18:16,08:06,44.4,"But anyway, sliced bread was invented in 1928 and this made sandwiches just so much easier to make. Cutting bread is a bit fiddly to do in a straight line, and so buying it pre-sliced made making sandwiches incredibly easy. Secondly, was the invention of the pre-made sandwich, which arrived in 1980 in Marks and Spencer's, which is an iconic British department store."
ELFCM020,17:18,07:42,44.5,"they have paid to offset their carbon. You want to take a flight for a weekend away? Sure, you shouldn't feel bad about it because you can offset your carbon. The criticism is that it doesn't address the root cause of global warming and in order to have any chance of reducing the carbon in the atmosphere, people's behaviour needs to change."
ELFCM021,14:06,06:23,45.2,"Some attribute this to social media, the ease with which fake news spreads, or you could even say just the ease with which information spreads. Others attribute this to a lack of trust in government and the authorities. As people trust these kind of institutions less and less, the more seductive it becomes to believe that there is some kind of great conspiracy that the government is engaged in against us, against"
ELFCM022,14:31,06:37,45.6,"been a huge increase in demand for meat-free products. People want to eat less meat, but they want better tasting stuff than the old tasteless vegan sausages that supermarkets used to sell. And now there are a plethora of options, from burgers that bleed, with beetroot juice, I should say, to a vegan sausage roll that is huge in the UK."
ELFCM023,19:40,08:47,44.7,"language learners. In the era of people thinking that there must be a hack, a shortcut for everything, a quick solution that means that you don't need to put in the hours, this is becoming increasingly prominent. And lots of people seem to spend hours searching for hacks, for shortcuts, that will mean that they don't actually have to put in time learning the language."
ELFCM024,19:03,08:33,44.9,"Firstly, as this podcast now has listeners from all over the world, I think when I last checked it was 115 countries, and secondly, because I'm recording this podcast from the little island of Malta, which is famous for people coming here specifically to learn English. So if you've guessed the mistake I'm referring to, hats off to you. Perhaps the clues were not particularly clear."
ELFCM025,17:32,07:56,45.2,"Then just under a hundred years later, in 1801, Ireland joined the union and the United Kingdom of Great Britain and Ireland was formed. So this made both of the big islands, so island, not Ireland, one united country. If you've really been paying attention though, you'll note that this is the United Kingdom of Great Britain and Ireland, not the United Kingdom of Great Britain and Northern Ireland, which is what we"
ELFCM026,20:24,09:02,44.3,"the bullshit purposes in the five categories that we just spoke about. If you have ever worked in any sort of medium to large organization, whether that's in the private or public sector, I'm sure that a lot of this might be familiar to you. On a personal level, I used to work both as an employee and a contractor, a consultant to some quite big companies, and I was astounded to see how much of the work that people do in these companies is"
ELFCM027,20:23,09:03,44.5,"Jong-il. And it was under Kim Jong-il that North Korea first started enriching uranium in order to create its own nuclear capabilities, despite having promised not to. Fast forward a few years and after Kim Jong-il died in 2011 and was replaced by one of his sons, Kim Jong-un, things continued to get weirder and more volatile, more unpredictable, in the hermit"
ELFCM028,08:38,03:46,43.6,"So it seems at least that you are enjoying the show and that we're doing something right. But other than seeing that there are more and more people listening, I have got almost no idea of what we might be doing well, of what you like, and what you don't like. As a language learner myself, and an English teacher and a curious mind, I know what I would find useful from a learning point of view, and I know the kinds of topics that interest me, but that's"
