Episode,Duration,Ad Spot (mm:ss),Position (%),Context
ELFCM550,26:43,12:00,44.9,"At first, the government’s response was predictable – tear gas, rubber bullets, arrests, the textbook response of an authoritarian regime in the face of public protest. But unlike previous protests, the demonstrators didn’t disperse. They stood their ground, buoyed by the sense that this"
ELFCM551,18:45,08:30,45.4,"it’s about security and control. As we talked about in the last episode, Cairo was the centre of the 2011 revolution, and Tahrir Square an almost indestructible monument to civil unrest. By shifting the government to a remote desert site, the critics argue, Sisi is signaling that he wants to start afresh, away from"
ELFCM552,23:03,10:26,45.3,"and this was a crime of passion. He had met up with a man for sex, perhaps even a man who was hiding his homosexuality, and out of shame, he had murdered Regeni. That’s why he wasn’t wearing any trousers,  that’s why he was naked from the waist down. This was ridiculous, Regeni’s"
ELFCM553,23:35,10:37,45.0,"about changing or increasing it. Its supporters argue that it needs to be protected at all costs, created if it doesn’t exist already, or increased if it is considered too low. Without a fair minimum wage, the most vulnerable in society risk being even more exploited by powerful corporations. People would be at the mercy of employers"
ELFCM554,20:13,09:10,45.4,"One of the most talked-about is something called direct air capture, where large machines act like giant air filters, pulling in huge volumes of air and using chemical processes to extract the CO2. Once it’s captured, the carbon is compressed and injected deep underground, where it can stay for thousands of years. Then there’s this thing called enhanced"
ELFCM555,25:18,11:28,45.3,"himself as the one figure who could hold the country together. And to a population exhausted by years of instability and civil war, the idea of a strongman didn’t sound so bad. So, in 1965, at the age of 35, Mobutu saw his chance. He used a request from the President to “temporarily restore order” as a"
ELFCM556,20:27,09:03,44.3,"country was flush with cash. By the early 2000s, it had one of the highest GDPs per capita in Africa. But, as you might expect, almost none of that wealth reached the average citizen. Most of it was controlled by the president and his family, particularly his son, Teodorín, who became infamous for his luxury lifestyle: mansions, supercars,"
ELFCM557,21:58,10:00,45.6,"Dos Santos had handed over control of several of the state-run telecoms and energy companies to his daughter, Isabel, who has been accused of being just as corrupt as her father. As a quick side note, Isabel Dos Santos was found to be the owner of a bunch of Malta-based companies that are accused of being used to steal money from the Angolan"
ELFCM558,26:25,11:58,45.3,"through Southern France and crossed the Alps in the summer of 218 BCE. It’s still not clear exactly which route Hannibal took, but there was and still is no easy route across the Alps. Managing it was a feat so bold that Roman historians centuries later still couldn’t quite believe it had actually happened. The terrain was treacherous,"
ELFCM559,23:49,10:48,45.4,"And this might have seemed like an isolated case–a murderous couple who thought they would never be caught–but it turned out to be the start of something much bigger. According to one report, before she was condemned to death, she said, “Out of so many guilty people, must I be the only one to be put to death?"
